"epochNums","epochDates","epochDays"
244,"Wed Apr 28 13:25:00 2004",12536.8506944444
245,"Wed Apr 28 13:30:00 2004",12536.8541666667
246,"Wed Apr 28 13:35:00 2004",12536.8576388889
247,"Wed Apr 28 13:40:00 2004",12536.8611111111
248,"Wed Apr 28 13:45:00 2004",12536.8645833333
249,"Wed Apr 28 13:50:00 2004",12536.8680555556
250,"Wed Apr 28 13:55:00 2004",12536.8715277778
251,"Wed Apr 28 14:00:00 2004",12536.875
252,"Wed Apr 28 14:05:00 2004",12536.8784722222
253,"Wed Apr 28 14:10:00 2004",12536.8819444444
254,"Wed Apr 28 14:15:00 2004",12536.8854166667
255,"Wed Apr 28 14:20:00 2004",12536.8888888889
256,"Wed Apr 28 14:25:00 2004",12536.8923611111
257,"Wed Apr 28 14:30:00 2004",12536.8958333333
258,"Wed Apr 28 14:35:00 2004",12536.8993055556
259,"Wed Apr 28 14:40:00 2004",12536.9027777778
260,"Wed Apr 28 14:45:00 2004",12536.90625
261,"Wed Apr 28 14:50:00 2004",12536.9097222222
262,"Wed Apr 28 14:55:00 2004",12536.9131944444
263,"Wed Apr 28 15:00:00 2004",12536.9166666667
264,"Wed Apr 28 15:05:00 2004",12536.9201388889
265,"Wed Apr 28 15:10:00 2004",12536.9236111111
266,"Wed Apr 28 15:15:00 2004",12536.9270833333
267,"Wed Apr 28 15:20:00 2004",12536.9305555556
268,"Wed Apr 28 15:25:00 2004",12536.9340277778
269,"Wed Apr 28 15:30:00 2004",12536.9375
270,"Wed Apr 28 15:35:00 2004",12536.9409722222
271,"Wed Apr 28 15:40:00 2004",12536.9444444444
272,"Wed Apr 28 15:45:00 2004",12536.9479166667
273,"Wed Apr 28 15:50:00 2004",12536.9513888889
274,"Wed Apr 28 15:55:00 2004",12536.9548611111
275,"Wed Apr 28 16:00:00 2004",12536.9583333333
276,"Wed Apr 28 16:05:00 2004",12536.9618055556
277,"Wed Apr 28 16:10:00 2004",12536.9652777778
278,"Wed Apr 28 16:15:00 2004",12536.96875
279,"Wed Apr 28 16:20:00 2004",12536.9722222222
280,"Wed Apr 28 16:25:00 2004",12536.9756944444
281,"Wed Apr 28 16:30:00 2004",12536.9791666667
282,"Wed Apr 28 16:35:00 2004",12536.9826388889
283,"Wed Apr 28 16:40:00 2004",12536.9861111111
284,"Wed Apr 28 16:45:00 2004",12536.9895833333
285,"Wed Apr 28 16:50:00 2004",12536.9930555556
286,"Wed Apr 28 16:55:00 2004",12536.9965277778
287,"Wed Apr 28 17:00:00 2004",12537
288,"Wed Apr 28 17:05:00 2004",12537.0034722222
289,"Wed Apr 28 17:10:00 2004",12537.0069444444
290,"Wed Apr 28 17:15:00 2004",12537.0104166667
291,"Wed Apr 28 17:20:00 2004",12537.0138888889
292,"Wed Apr 28 17:25:00 2004",12537.0173611111
293,"Wed Apr 28 17:30:00 2004",12537.0208333333
294,"Wed Apr 28 17:35:00 2004",12537.0243055556
295,"Wed Apr 28 17:40:00 2004",12537.0277777778
296,"Wed Apr 28 17:45:00 2004",12537.03125
297,"Wed Apr 28 17:50:00 2004",12537.0347222222
298,"Wed Apr 28 17:55:00 2004",12537.0381944444
299,"Wed Apr 28 18:00:00 2004",12537.0416666667
300,"Wed Apr 28 18:05:00 2004",12537.0451388889
301,"Wed Apr 28 18:10:00 2004",12537.0486111111
302,"Wed Apr 28 18:15:00 2004",12537.0520833333
303,"Wed Apr 28 18:20:00 2004",12537.0555555556
304,"Wed Apr 28 18:25:00 2004",12537.0590277778
305,"Wed Apr 28 18:30:00 2004",12537.0625
306,"Wed Apr 28 18:35:00 2004",12537.0659722222
307,"Wed Apr 28 18:40:00 2004",12537.0694444444
308,"Wed Apr 28 18:45:00 2004",12537.0729166667
309,"Wed Apr 28 18:50:00 2004",12537.0763888889
310,"Wed Apr 28 18:55:00 2004",12537.0798611111
311,"Wed Apr 28 19:00:00 2004",12537.0833333333
312,"Wed Apr 28 19:05:00 2004",12537.0868055556
313,"Wed Apr 28 19:10:00 2004",12537.0902777778
314,"Wed Apr 28 19:15:00 2004",12537.09375
315,"Wed Apr 28 19:20:00 2004",12537.0972222222
316,"Wed Apr 28 19:25:00 2004",12537.1006944444
317,"Wed Apr 28 19:30:00 2004",12537.1041666667
318,"Wed Apr 28 19:35:00 2004",12537.1076388889
319,"Wed Apr 28 19:40:00 2004",12537.1111111111
320,"Wed Apr 28 19:45:00 2004",12537.1145833333
